# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.500000e+01
# lRef        : 1.420000e+00
# Aref        : 2.500000e-01
# CofR        : (7.200000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
214           	-7.869567e-01	5.683211e-01	-1.918918e+00	-1.746416e+00	-1.725023e-01
215           	-7.869581e-01	5.683154e-01	-1.918916e+00	-1.746416e+00	-1.725000e-01
216           	-7.870397e-01	5.684086e-01	-1.919169e+00	-1.746624e+00	-1.725449e-01
217           	-7.870433e-01	5.683986e-01	-1.919169e+00	-1.746628e+00	-1.725412e-01
218           	-7.871534e-01	5.684168e-01	-1.919398e+00	-1.746852e+00	-1.725455e-01
219           	-7.871542e-01	5.684133e-01	-1.919394e+00	-1.746851e+00	-1.725429e-01
220           	-7.872203e-01	5.685249e-01	-1.919635e+00	-1.747038e+00	-1.725974e-01
221           	-7.872671e-01	5.685448e-01	-1.919759e+00	-1.747147e+00	-1.726125e-01
222           	-7.872708e-01	5.685372e-01	-1.919761e+00	-1.747151e+00	-1.726096e-01
223           	-7.873390e-01	5.685170e-01	-1.919869e+00	-1.747273e+00	-1.725954e-01
224           	-7.873319e-01	5.685616e-01	-1.919886e+00	-1.747275e+00	-1.726114e-01
225           	-7.873275e-01	5.685765e-01	-1.919888e+00	-1.747272e+00	-1.726168e-01
226           	-7.873087e-01	5.685236e-01	-1.919811e+00	-1.747214e+00	-1.725968e-01
227           	-7.872623e-01	5.684635e-01	-1.919676e+00	-1.747101e+00	-1.725759e-01
228           	-7.872625e-01	5.684673e-01	-1.919679e+00	-1.747102e+00	-1.725770e-01
229           	-7.872279e-01	5.683572e-01	-1.919510e+00	-1.746983e+00	-1.725270e-01
230           	-7.871369e-01	5.683265e-01	-1.919296e+00	-1.746785e+00	-1.725108e-01
231           	-7.871326e-01	5.683472e-01	-1.919301e+00	-1.746783e+00	-1.725180e-01
232           	-7.870408e-01	5.682347e-01	-1.919018e+00	-1.746550e+00	-1.724683e-01
233           	-7.870366e-01	5.682434e-01	-1.919014e+00	-1.746544e+00	-1.724704e-01
234           	-7.869243e-01	5.681533e-01	-1.918732e+00	-1.746290e+00	-1.724415e-01
235           	-7.868055e-01	5.680689e-01	-1.918429e+00	-1.746020e+00	-1.724091e-01
236           	-7.868061e-01	5.680807e-01	-1.918437e+00	-1.746025e+00	-1.724126e-01
237           	-7.866840e-01	5.679314e-01	-1.918062e+00	-1.745715e+00	-1.723469e-01
238           	-7.866810e-01	5.679391e-01	-1.918062e+00	-1.745712e+00	-1.723499e-01
239           	-7.865637e-01	5.678314e-01	-1.917730e+00	-1.745429e+00	-1.723013e-01
240           	-7.865610e-01	5.678403e-01	-1.917731e+00	-1.745427e+00	-1.723045e-01
241           	-7.864490e-01	5.676696e-01	-1.917338e+00	-1.745118e+00	-1.722201e-01
242           	-7.864490e-01	5.676711e-01	-1.917336e+00	-1.745117e+00	-1.722192e-01
243           	-7.863416e-01	5.676078e-01	-1.917062e+00	-1.744873e+00	-1.721896e-01
244           	-7.863406e-01	5.676187e-01	-1.917069e+00	-1.744875e+00	-1.721937e-01
245           	-7.862680e-01	5.674911e-01	-1.916783e+00	-1.744659e+00	-1.721234e-01
246           	-7.862684e-01	5.674917e-01	-1.916783e+00	-1.744660e+00	-1.721232e-01
247           	-7.862001e-01	5.674660e-01	-1.916619e+00	-1.744510e+00	-1.721094e-01
248           	-7.861794e-01	5.674507e-01	-1.916540e+00	-1.744449e+00	-1.720907e-01
249           	-7.861785e-01	5.674610e-01	-1.916546e+00	-1.744452e+00	-1.720946e-01
250           	-7.861708e-01	5.673618e-01	-1.916420e+00	-1.744381e+00	-1.720392e-01
251           	-7.861705e-01	5.673643e-01	-1.916421e+00	-1.744381e+00	-1.720401e-01
252           	-7.861768e-01	5.673414e-01	-1.916394e+00	-1.744374e+00	-1.720201e-01
253           	-7.861764e-01	5.673462e-01	-1.916397e+00	-1.744375e+00	-1.720220e-01
254           	-7.862088e-01	5.672299e-01	-1.916320e+00	-1.744369e+00	-1.719513e-01
255           	-7.862079e-01	5.672279e-01	-1.916314e+00	-1.744365e+00	-1.719493e-01
256           	-7.862250e-01	5.672642e-01	-1.916365e+00	-1.744408e+00	-1.719576e-01
257           	-7.862255e-01	5.672692e-01	-1.916372e+00	-1.744411e+00	-1.719603e-01
258           	-7.862955e-01	5.672080e-01	-1.916417e+00	-1.744504e+00	-1.719132e-01
259           	-7.862969e-01	5.672048e-01	-1.916418e+00	-1.744506e+00	-1.719120e-01
260           	-7.863594e-01	5.672629e-01	-1.916572e+00	-1.744645e+00	-1.719265e-01
261           	-7.863595e-01	5.672673e-01	-1.916578e+00	-1.744648e+00	-1.719293e-01
262           	-7.864597e-01	5.672388e-01	-1.916700e+00	-1.744809e+00	-1.718901e-01
263           	-7.864587e-01	5.672366e-01	-1.916696e+00	-1.744807e+00	-1.718893e-01
264           	-7.865461e-01	5.673653e-01	-1.916959e+00	-1.745026e+00	-1.719333e-01
265           	-7.865462e-01	5.673697e-01	-1.916966e+00	-1.745029e+00	-1.719366e-01
266           	-7.866800e-01	5.673647e-01	-1.917168e+00	-1.745264e+00	-1.719041e-01
267           	-7.866805e-01	5.673615e-01	-1.917167e+00	-1.745264e+00	-1.719030e-01
268           	-7.867932e-01	5.674871e-01	-1.917469e+00	-1.745528e+00	-1.719415e-01
269           	-7.867928e-01	5.674919e-01	-1.917475e+00	-1.745530e+00	-1.719445e-01
270           	-7.869282e-01	5.674794e-01	-1.917670e+00	-1.745763e+00	-1.719066e-01
271           	-7.869268e-01	5.674787e-01	-1.917666e+00	-1.745760e+00	-1.719060e-01
272           	-7.870252e-01	5.676157e-01	-1.917954e+00	-1.746002e+00	-1.719520e-01
273           	-7.870248e-01	5.676216e-01	-1.917961e+00	-1.746005e+00	-1.719556e-01
