# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.000000e+01
# lRef        : 1.420000e+00
# Aref        : 7.500000e-01
# CofR        : (7.200000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
196           	1.561730e-01	4.168824e-01	6.131944e-02	1.868327e-01	-1.255133e-01
197           	1.560947e-01	4.166763e-01	6.124107e-02	1.867153e-01	-1.254742e-01
198           	1.560420e-01	4.165124e-01	6.130899e-02	1.866965e-01	-1.253876e-01
199           	1.559348e-01	4.162839e-01	6.130593e-02	1.865878e-01	-1.252818e-01
200           	1.558381e-01	4.160816e-01	6.144840e-02	1.865623e-01	-1.251139e-01
201           	1.557362e-01	4.158864e-01	6.151503e-02	1.864937e-01	-1.249787e-01
202           	1.556960e-01	4.158126e-01	6.168281e-02	1.865374e-01	-1.248545e-01
203           	1.556555e-01	4.157726e-01	6.173277e-02	1.865219e-01	-1.247891e-01
204           	1.556947e-01	4.158609e-01	6.185318e-02	1.866213e-01	-1.247681e-01
205           	1.557573e-01	4.159957e-01	6.185437e-02	1.866845e-01	-1.248301e-01
206           	1.559070e-01	4.162606e-01	6.190949e-02	1.868618e-01	-1.249523e-01
207           	1.560459e-01	4.165071e-01	6.184151e-02	1.869667e-01	-1.251251e-01
208           	1.562436e-01	4.168246e-01	6.186171e-02	1.871744e-01	-1.253127e-01
209           	1.564295e-01	4.171048e-01	6.178955e-02	1.873243e-01	-1.255348e-01
210           	1.566433e-01	4.174101e-01	6.184440e-02	1.875654e-01	-1.257211e-01
211           	1.567955e-01	4.176280e-01	6.179963e-02	1.876953e-01	-1.258957e-01
212           	1.569548e-01	4.178521e-01	6.188192e-02	1.878958e-01	-1.260139e-01
213           	1.570641e-01	4.179953e-01	6.187017e-02	1.879992e-01	-1.261290e-01
214           	1.571608e-01	4.181188e-01	6.197793e-02	1.881497e-01	-1.261718e-01
215           	1.572460e-01	4.182465e-01	6.198363e-02	1.882378e-01	-1.262542e-01
216           	1.572940e-01	4.182937e-01	6.212923e-02	1.883586e-01	-1.262293e-01
217           	1.573241e-01	4.183359e-01	6.216681e-02	1.884075e-01	-1.262407e-01
218           	1.573760e-01	4.183784e-01	6.235589e-02	1.885539e-01	-1.261980e-01
219           	1.573615e-01	4.183370e-01	6.237673e-02	1.885498e-01	-1.261731e-01
220           	1.573755e-01	4.183508e-01	6.249644e-02	1.886237e-01	-1.261273e-01
221           	1.573768e-01	4.182987e-01	6.256126e-02	1.886574e-01	-1.260962e-01
222           	1.574250e-01	4.183305e-01	6.271850e-02	1.887843e-01	-1.260658e-01
223           	1.574138e-01	4.182906e-01	6.272360e-02	1.887756e-01	-1.260520e-01
224           	1.574201e-01	4.182937e-01	6.282327e-02	1.888317e-01	-1.260085e-01
225           	1.573718e-01	4.182285e-01	6.277583e-02	1.887597e-01	-1.259839e-01
226           	1.573675e-01	4.182225e-01	6.286896e-02	1.888019e-01	-1.259330e-01
227           	1.573089e-01	4.181621e-01	6.284177e-02	1.887297e-01	-1.258880e-01
228           	1.572848e-01	4.181715e-01	6.295803e-02	1.887638e-01	-1.258058e-01
229           	1.572210e-01	4.181215e-01	6.298401e-02	1.887130e-01	-1.257289e-01
230           	1.571752e-01	4.181354e-01	6.312698e-02	1.887387e-01	-1.256117e-01
231           	1.570684e-01	4.180669e-01	6.314502e-02	1.886409e-01	-1.254959e-01
232           	1.569918e-01	4.180587e-01	6.327941e-02	1.886315e-01	-1.253521e-01
233           	1.568778e-01	4.179992e-01	6.330277e-02	1.885292e-01	-1.252264e-01
